"subj"	"age"	"gender"	"vlmt5-7"	"SumVLMT"
"1"	"26"	"w"	"2"	"55"
"2"	"24"	"m"	"-1"	"63"
"3"	"26"	"w"	"4"	"56"
"4"	"28"	"m"	"2"	"40"
"5"	"24"	"m"	"1"	"58"
"6"	"30"	"w"	"-1"	"51"
"7"	"25"	"m"	"0"	"66"
"8"	"22"	"m"	"0"	"58"
"9"	"23"	"w"	"0"	"61"
"10"	"34"	"m"	"1"	"54"
"11"	"32"	"m"	"0"	"61"
"12"	"25"	"w"	"2"	"53"
"13"	"30"	"m"	"2"	"43"
"14"	"24"	"w"	"-1"	"63"
"15"	"31"	"m"	"2"	"52"
"16"	"27"	"w"	"-1"	"58"
"17"	"30"	"w"	"-1"	"67"
"18"	"26"	"m"	"0"	"66"
"19"	"24"	"m"	"3"	"54"
"20"	"23"	"m"	"0"	"55"
"21"	"18"	"m"	"-1"	"56"
"22"	"29"	"m"	"0"	"57"
"23"	"35"	"w"	"0"	"64"
"24"	"30"	"m"	"-1"	"67"
"25"	"28"	"m"	"0"	"63"
"26"	"22"	"w"	"2"	"50"
"27"	"25"	"w"	"2"	"63"
"28"	"25"	"m"	"0"	"55"
"29"	"35"	"m"	"0"	"49"
"30"	"25"	"w"	"1"	"61"
"31"	"30"	"w"	"-1"	"70"
"32"	"30"	"w"	"0"	"60"
"33"	"22"	"m"	"0"	"74"
"34"	"25"	"w"	"1"	"71"
"35"	"29"	"m"	"-3"	"48"
"36"	"32"	"w"	"1"	"64"
"37"	"26"	"w"	"4"	"54"
"1001"	"74"	"w"	"2"	"48"
"1002"	"72"	"m"	"2"	"59"
"1003"	"64"	"w"	"0"	"56"
"1004"	"67"	"w"	"3"	"52"
"1005"	"68"	"w"	"-1"	"62"
"1006"	"64"	"w"	"5"	"49"
"1007"	"72"	"m"	"1"	"52"
"1008"	"64"	"w"	"0"	"52"
"1009"	"63"	"m"	"0"	"63"
"1010"	"67"	"w"	"2"	"65"
"1011"	"72"	"w"	"4"	"52"
"1012"	"70"	"w"	"2"	"52"
"1013"	"63"	"w"	"1"	"50"
"1014"	"76"	"m"	"0"	"30"
"1015"	"67"	"w"	"0"	"63"
"1016"	"65"	"w"	"2"	"51"
"1017"	"61"	"w"	"3"	"42"
"1018"	"62"	"m"	"0"	"54"
"1019"	"78"	"m"	"6"	"31"
"1020"	"72"	"w"	"1"	"57"
"1021"	"73"	"w"	"1"	"58"
"1022"	"60"	"w"	"-2"	"48"
"1023"	"77"	"w"	"5"	"41"
"1024"	"65"	"m"	"3"	"52"
"1025"	"63"	"m"	"2"	"53"
"1026"	"64"	"w"	"3"	"43"
"1027"	"72"	"d"	"0"	"61"
"1028"	"71"	"m"	"5"	"46"
"1029"	"67"	"w"	"3"	"55"
"1030"	"68"	"w"	"3"	"62"
"1031"	"65"	"m"	"1"	"53"
"1032"	"69"	"w"	"4"	"51"
"1033"	"63"	"w"	"-1"	"56"
"1034"	"63"	"w"	"0"	"62"
"1035"	"67"	"w"	"2"	"47"
"1036"	"69"	"m"	"-1"	"53"
"1037"	"60"	"w"	"3"	"57"
"1038"	"62"	"w"	"0"	"73"
"1039"	"68"	"w"	"2"	"60"
"1040"	"62"	"w"	"-1"	"50"
"1041"	"69"	"w"	"5"	"54"
