"subjectNumber"	"trialNumber"	"blockNumber"	"conditionST"	"roomSizeSL"	"roomShowSpaceWall1"	"roomShowSpaceWall2"	"roomShowSpaceWall3"	"roomShowSpaceWall4"	"timeSL"	"reproductionStartWall1"	"reproductionStartWall2"	"reproductionStartWall3"	"reproductionStartWall4"	"reproductionTime"	"reproductionEndWall1"	"reproductionEndWall2"	"reproductionEndWall3"	"reproductionEndWall4"	"reproSpaceStartAbs"	"reproSpaceEndAbs"	"reproChangeAbs"	"reproSpeed"	"roomColor"	"trialStart"	"cuePresent"	"RoomPresentStart"	"RoomPresentEnd"	"ReproScene"	"reproductionStart"	"reproductionEnd"	"trialEnd"
1001	0	1	1	2	-3.5	3.5	3.5	-3.5	2	-0.5	0.5	0.5	-0.5	7.08644104003906	-3.33436846733093	3.33436846733093	3.33436846733093	-3.33436846733093	1	44.472053527832	43.472053527832	7.5	2	0	252.140777587891	243.215682983398	251.212829589844	251.723129272461	255.445022583008	262.531463623047	262.531463623047
1001	1	1	1	1	-2	2	2	-2	2	-0.5	0.5	0.5	-0.5	3.88754272460938	-2.44375371932983	2.44375371932983	2.44375371932983	-2.44375371932983	1	23.8877296447754	22.8877296447754	3	1	0	274.046875	265.539703369141	273.536865234375	274.046875	299.692962646484	303.580505371094	303.580505371094
1001	2	1	2	2	-3.5	3.5	3.5	-3.5	1	-2.75	2.75	2.75	-2.75	6.2257080078125	-2.75	2.75	2.75	-2.75	30.25	30.25	0	0	1	0	311.020111083984	306.5107421875	310.509643554688	311.020111083984	311.316131591797	317.541839599609	317.541839599609
1001	3	1	2	2	-3.5	3.5	3.5	-3.5	2	-2.75	2.75	2.75	-2.75	7.2078857421875	-2.75	2.75	2.75	-2.75	30.25	30.25	0	0	3	0	329.268676757812	320.760375976562	328.757751464844	329.268676757812	334.522644042969	341.730529785156	341.730529785156
1001	4	1	1	1	-2	2	2	-2	1	-0.5	0.5	0.5	-0.5	4.02032470703125	-1.84010851383209	1.84010851383209	1.84010851383209	-1.84010851383209	1	13.5439977645874	12.5439977645874	4.5	4	0	349.203674316406	344.694396972656	348.693328857422	349.203674316406	351.915435791016	355.935760498047	355.935760498047
1001	5	1	1	2	-3.5	3.5	3.5	-3.5	2	-0.5	0.5	0.5	-0.5	5.99765014648438	-2.61683583259583	2.61683583259583	2.61683583259583	-2.61683583259583	1	27.3913192749023	26.3913192749023	8.5	4	0	367.373931884766	358.855163574219	366.863403320312	367.373931884766	370.040435791016	376.0380859375	376.0380859375
1001	6	1	2	1	-2	2	2	-2	1	-2.75	2.75	2.75	-2.75	2.3109130859375	-2.75	2.75	2.75	-2.75	30.25	30.25	0	0	5	0	383.512268066406	378.991119384766	383.000793457031	383.512268066406	387.277679443359	389.588592529297	389.588592529297
1001	7	1	1	2	-3.5	3.5	3.5	-3.5	2	-0.5	0.5	0.5	-0.5	6.30877685546875	-2.8658812046051	2.8658812046051	2.8658812046051	-2.8658812046051	1	32.853099822998	31.853099822998	8	3	0	401.059692382812	392.552062988281	400.548889160156	401.059692382812	403.426361083984	409.735137939453	409.735137939453
1001	8	1	1	1	-2	2	2	-2	2	-0.5	0.5	0.5	-0.5	4.72012329101562	-1.91604328155518	1.91604328155518	1.91604328155518	-1.91604328155518	1	14.6848878860474	13.6848878860474	5	5	0	421.195434570312	412.688323974609	420.684783935547	421.195434570312	422.884826660156	427.604949951172	427.604949951172
1001	9	1	1	2	-3.5	3.5	3.5	-3.5	1	-0.5	0.5	0.5	-0.5	5.88638305664062	-2.46212911605835	2.46212911605835	2.46212911605835	-2.46212911605835	1	24.2483196258545	23.2483196258545	9	5	0	435.067504882812	430.546936035156	434.556945800781	435.067504882812	436.934600830078	442.820983886719	442.820983886719
1001	10	1	1	1	-2	2	2	-2	1	-0.5	0.5	0.5	-0.5	4.43072509765625	-2.16181993484497	2.16181993484497	2.16181993484497	-2.16181993484497	1	18.6938610076904	17.6938610076904	4	3	0	450.293823242188	445.785064697266	449.783813476562	450.293823242188	451.961975097656	456.392700195312	456.392700195312
1001	11	1	2	2	-3.5	3.5	3.5	-3.5	2	-2.75	2.75	2.75	-2.75	3.73245239257812	-2.75	2.75	2.75	-2.75	30.25	30.25	0	0	1	0	467.875701904297	459.356658935547	467.365234375	467.875701904297	470.963806152344	474.696258544922	474.696258544922
1001	12	1	2	1	-2	2	2	-2	2	-2.75	2.75	2.75	-2.75	4.17611694335938	-2.75	2.75	2.75	-2.75	30.25	30.25	0	0	5	0	486.179107666016	477.67138671875	485.668518066406	486.179107666016	487.557067871094	491.733184814453	491.733184814453
1001	13	1	2	2	-3.5	3.5	3.5	-3.5	2	-2.75	2.75	2.75	-2.75	6.28717041015625	-2.75	2.75	2.75	-2.75	30.25	30.25	0	0	5	0	503.215911865234	494.708160400391	502.705932617188	503.215911865234	504.572082519531	510.859252929688	510.859252929688
1001	14	1	1	2	-3.5	3.5	3.5	-3.5	1	-0.5	0.5	0.5	-0.5	7.18597412109375	-3.03627109527588	3.03627109527588	3.03627109527588	-3.03627109527588	1	36.8757667541504	35.8757667541504	8.5	4	0	518.62060546875	514.111450195312	518.109741210938	518.62060546875	520.331970214844	527.517944335938	527.517944335938
1001	15	1	1	2	-3.5	3.5	3.5	-3.5	1	-0.5	0.5	0.5	-0.5	6.3753662109375	-3.23228740692139	3.23228740692139	3.23228740692139	-3.23228740692139	1	41.7907257080078	40.7907257080078	7	1	0	535.013366699219	530.493103027344	534.492553710938	535.013366699219	537.690795898438	544.066162109375	544.066162109375
1001	16	1	2	2	-3.5	3.5	3.5	-3.5	1	-2.75	2.75	2.75	-2.75	4.1871337890625	-2.75	2.75	2.75	-2.75	30.25	30.25	0	0	3	0	551.5625	547.052734375	551.051208496094	551.5625	553.651000976562	557.838134765625	557.838134765625
